brand,description,link,price,discount
GVR,TRENDY SNEAKERS FROM GVR FOR MEN Sneakers For Men,,₹629,37% off
Mast & Harbour,Sneakers For Men,,₹824,60% off
World Wear Footwear,Exclusive Affordable Collection of Trendy & Stylish Spo...,,₹389,61% off
World Wear Footwear,Exclusive Range of Stylish Comfortable Sports Sneakers ...,,₹419,58% off
asian,"Express-08 Grey Sports, Walking, Training ,Gym, Walking...",,₹789,47% off
HOTSTYLE,Loafers For Men,,₹376,62% off
CAMPUS,MIKE (N) Running Shoes For Men,,"₹1,199",29% off
Noroto,"Stylish Comfortable Lightweight , Running shoes Walking...",,₹389,61% off
CAMPUS,MIKE (N) Running Shoes For Men,,"₹1,199",29% off
World Wear Footwear,Men 9325 Latest Collection Stylish Sports Sneakers Runn...,,₹419,58% off
asian,"Delta-20 Grey Sports,Casual,Walking,Gym, Walking Shoes ...",,₹799,38% off
PROVOGUE,Synthetic Leather Formal Shoe's For Men,,₹721,78% off
aadi,Mesh| Ultralightweight| Premiun| Comfort| Summer Tendy|...,,₹449,55% off
SCATCHITE,Sneakers For Men,,₹383,61% off
World Wear Footwear,Amazing New Collection of Stylish Comfortable Shoes Run...,,₹419,58% off
John Karsun,Oxford Oxford For Men,,₹709,76% off
PUMA,Jaunt Walking Shoes For Men,,"₹1,519",62% off
WAAN,Stylish Comfortable Shoes Walking Shoes For Men,,₹599,70% off
BRUTON,Trendy Running Shoes Running Shoes For Men,,₹399,69% off
Avant,Ultra Light Running Shoes For Men,,₹649,59% off
aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,,₹347,65% off
CAMPUS,FIRST Running Shoes For Men,,"₹1,399",22% off
asian,Oxygen-01 white Running shoes dual capsule technology f...,,"₹1,149",42% off
Footox,Walking Shoes for Women | Running Shoes | Casual Shoes ...,,₹499,50% off
asian,"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training...",,₹599,40% off
asian,Casuals For Men,,"₹1,149",42% off
RED TAPE,Running Shoes For Men,,"₹1,224",75% off
Avant,Cushioned Athletic Running Shoes For Men,,₹799,38% off
asian,Cosko sports shoes for men | Latest Stylish Casual spor...,,₹599,40% off
asian,Creta-12 sports shoes for men | Latest Stylish Casual s...,,₹749,42% off
CAMPUS,ROYCE-2 Running Shoes For Men,,₹899,14% off
DXMODA,"DX MODA Running, Walking, Trainning & Gyming Shoe Walki...",,₹566,50% off
World Wear Footwear,Men 9323 Latest Collection Stylish Sports Sneakers Runn...,,₹419,58% off
CAMPUS,TORMENTOR Running Shoes For Men,,"₹1,399",22% off
asian,Wndr-13 sports shoes for men | Latest Stylish Casual sp...,,₹524,25% off
RebelBe,Pure Genuine Leather Office Party Special Event Shoe fo...,,₹539,66% off
asian,Airsocks-12 sports shoes for men | Latest Stylish Casua...,,₹547,63% off
